MB 118 (16x16) -> Y = 48 | CbCr = 45
MB 119 (4x4) -> Y = 55 | CbCr = 61
MB 120 (4x4) -> Y = 59 | CbCr = 59
MB 121 (4x4) -> Y = 59 | CbCr = 54
MB 122 (16x16) -> Y = 54 | CbCr = 56
MB 123 (16x16) -> Y = 51 | CbCr = 36
MB 124 (4x4) -> Y = 74 | CbCr = 48
MB 125 (4x4) -> Y = 67 | CbCr = 40
MB 126 (16x16) -> Y = 57 | CbCr = 54
MB 127 (16x16) -> Y = 64 | CbCr = 86
MB 128 (4x4) -> Y = 62 | CbCr = 171
MB 129 (16x16) -> Y = 30 | CbCr = 124
MB 130 (4x4) -> Y = 50 | CbCr = 109
MB 131 (4x4) -> Y = 58 | CbCr = 75
MB 132 (16x16) -> Y = 46 | CbCr = 119
MB 133 (4x4) -> Y = 52 | CbCr = 75
MB 134 (4x4) -> Y = 52 | CbCr = 64
MB 135 (4x4) -> Y = 40 | CbCr = 80
MB 136 (4x4) -> Y = 38 | CbCr = 72
MB 137 (4x4) -> Y = 47 | CbCr = 101
MB 138 (16x16) -> Y = 25 | CbCr = 105
MB 139 (4x4) -> Y = 44 | CbCr = 212
MB 140 (4x4) -> Y = 70 | CbCr = 507
MB 141 (4x4) -> Y = 58 | CbCr = 355
MB 142 (4x4) -> Y = 76 | CbCr = 452
MB 143 (4x4) -> Y = 73 | CbCr = 318
MB 144 (16x16) -> Y = 56 | CbCr = 140
MB 145 (16x16) -> Y = 54 | CbCr = 92
MB 146 (16x16) -> Y = 52 | CbCr = 44
MB 147 (4x4) -> Y = 12 | CbCr = 19
MB 148 (4x4) -> Y = 142 | CbCr = 395
MB 149 (16x16) -> Y = 56 | CbCr = 58
MB 150 (16x16) -> Y = 51 | CbCr = 51
MB 151 (4x4) -> Y = 61 | CbCr = 106
MB 152 (16x16) -> Y = 74 | CbCr = 27
MB 153 (4x4) -> Y = 66 | CbCr = 82
MB 154 (4x4) -> Y = 64 | CbCr = 31
MB 155 (16x16) -> Y = 58 | CbCr = 40
MB 156 (16x16) -> Y = 71 | CbCr = 38
MB 157 (4x4) -> Y = 69 | CbCr = 50
MB 158 (4x4) -> Y = 73 | CbCr = 42
MB 159 (16x16) -> Y = 70 | CbCr = 26
MB 160 (4x4) -> Y = 66 | CbCr = 25
MB 161 (4x4) -> Y = 79 | CbCr = 41
MB 162 (16x16) -> Y = 62 | CbCr = 43
MB 163 (4x4) -> Y = 62 | CbCr = 82
MB 164 (16x16) -> Y = 73 | CbCr = 106
MB 165 (16x16) -> Y = 58 | CbCr = 245
MB 166 (16x16) -> Y = 38 | CbCr = 67
MB 167 (4x4) -> Y = 45 | CbCr = 99
MB 168 (4x4) -> Y = 47 | CbCr = 104
MB 169 (16x16) -> Y = 53 | CbCr = 102
MB 170 (16x16) -> Y = 37 | CbCr = 144
MB 171 (16x16) -> Y = 39 | CbCr = 86
MB 172 (4x4) -> Y = 45 | CbCr = 34
MB 173 (16x16) -> Y = 40 | CbCr = 57
MB 174 (16x16) -> Y = 37 | CbCr = 89
MB 175 (4x4) -> Y = 41 | CbCr = 144
MB 176 (4x4) -> Y = 42 | CbCr = 621
MB 177 (4x4) -> Y = 80 | CbCr = 46
MB 178 (16x16) -> Y = 57 | CbCr = 59
MB 179 (4x4) -> Y = 66 | CbCr = 595
MB 180 (4x4) -> Y = 76 | CbCr = 391
MB 181 (16x16) -> Y = 67 | CbCr = 177
MB 182 (16x16) -> Y = 47 | CbCr = 112
MB 183 (16x16) -> Y = 46 | CbCr = 81
MB 184 (4x4) -> Y = 10 | CbCr = 52
MB 185 (4x4) -> Y = 157 | CbCr = 408
MB 186 (16x16) -> Y = 60 | CbCr = 46
MB 187 (16x16) -> Y = 58 | CbCr = 53
MB 188 (16x16) -> Y = 59 | CbCr = 67
MB 189 (16x16) -> Y = 52 | CbCr = 64
MB 190 (4x4) -> Y = 73 | CbCr = 114
MB 191 (16x16) -> Y = 78 | CbCr = 66
MB 192 (4x4) -> Y = 62 | CbCr = 37
MB 193 (16x16) -> Y = 40 | CbCr = 66
MB 194 (4x4) -> Y = 65 | CbCr = 55
